id,source_id,fragment_type,text_excerpt,structured_payload,effect_direction,strength_score,extraction_method,extraction_confidence,date_extracted,notes
EVD-001093,SRC-001093,anecdote,What is L-Carnitine & What is it's Biggest Benefit? – Dr.Berg,"{""reporter_population"": ""clinician"", ""engagement"": 869880, ""legacy_intervention_id"": ""INT-0011"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.1000,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001094,SRC-001094,anecdote,"🔴 The Link Between AUTISM, Mitochondria And CARNITINE DEFICIENCY!","{""reporter_population"": ""clinician"", ""engagement"": 30738, ""legacy_intervention_id"": ""INT-0011"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0898,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001095,SRC-001095,anecdote,Carnitine & Fueling Kids' Brains with Autism Mitochondrial Support,"{""reporter_population"": ""unknown"", ""engagement"": 229, ""legacy_intervention_id"": ""INT-0011"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0390,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001096,SRC-001096,anecdote,What is ALCAR,"{""reporter_population"": ""clinician"", ""engagement"": 18973, ""legacy_intervention_id"": ""INT-0011"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0856,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001097,SRC-001097,anecdote,Watch BEFORE Taking Carnitine Supplements | ﻿The Benefits and Side Effects of Carnitine,"{""reporter_population"": ""clinician"", ""engagement"": 36983, ""legacy_intervention_id"": ""INT-0011"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0914,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001098,SRC-001098,anecdote,Acetyl LCarnitine,"{""reporter_population"": ""unknown"", ""engagement"": 74951, ""legacy_intervention_id"": ""INT-0011"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0804,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001099,SRC-001099,anecdote,Interesting Facts About L-Carnitine that No One Talks About,"{""reporter_population"": ""clinician"", ""engagement"": 12128, ""legacy_intervention_id"": ""INT-0011"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0817,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001100,SRC-001100,anecdote,Health & Nutrition : Acetyl-L-Carnitine Side Effects,"{""reporter_population"": ""unknown"", ""engagement"": 100099, ""legacy_intervention_id"": ""INT-0011"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0825,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001101,SRC-001101,anecdote,How is Mitochondria related to Autism? #shorts #autism #mitochondria #autismawareness,"{""reporter_population"": ""unknown"", ""engagement"": 6825, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0633,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001102,SRC-001102,anecdote,"Mitochondria, Energy, and Autism. The Overlooked Metabolic Connection. ","{""reporter_population"": ""clinician"", ""engagement"": 561, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0550,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001103,SRC-001103,anecdote,The Mitochondria-Brain Connection Your Doctor Missed,"{""reporter_population"": ""clinician"", ""engagement"": 58885, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0954,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001104,SRC-001104,anecdote,"18) Richard Frye, MD, PhD - Mitochondrial dysfunction & autism spectrum disorder","{""reporter_population"": ""unknown"", ""engagement"": 2325, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0555,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001105,SRC-001105,anecdote,"How Mitochondrial Dysfunction May Impact Your Child’s Autism, ADHD, and Sensory Challenges","{""reporter_population"": ""unknown"", ""engagement"": 358, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0422,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001106,SRC-001106,anecdote,An Educational Webinar about Autism and Mitochondrial Function by Dr. Suzanne Goh,"{""reporter_population"": ""unknown"", ""engagement"": 6903, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0633,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001107,SRC-001107,anecdote,Mitochondria: An energy explanation for autism,"{""reporter_population"": ""unknown"", ""engagement"": 8253, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0646,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001108,SRC-001108,anecdote,Is Mitochondrial Dysfunction the Root Cause of Autism Spectrum Disorder?,"{""reporter_population"": ""unknown"", ""engagement"": 11191, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0668,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001109,SRC-001109,anecdote,Mitochondrial Function in Autism: A Parent Seminar (Part 1 of 5),"{""reporter_population"": ""parent"", ""engagement"": 1316, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0749,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001110,SRC-001110,anecdote,Mitochondrial Dysfunction and Autism with Dr. Richard G. Boles,"{""reporter_population"": ""clinician"", ""engagement"": 501, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0540,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001111,SRC-001111,anecdote,Mitochondrial Dysfunction in Autism Spectrum Disorders,"{""reporter_population"": ""unknown"", ""engagement"": 3171, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0578,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001112,SRC-001112,anecdote,The Hidden Crisis of Autism & Mitochondrial Dysfunction Explained,"{""reporter_population"": ""clinician"", ""engagement"": 9264, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0793,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001113,SRC-001113,anecdote,Mitochondrial Dysfunction and Autism-Dr. Kurt Woeller,"{""reporter_population"": ""unknown"", ""engagement"": 183, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0374,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001114,SRC-001114,anecdote,Benefits Behind Why CoQ-10 Supplements Are So Good For The Brain,"{""reporter_population"": ""clinician"", ""engagement"": 12299, ""legacy_intervention_id"": ""INT-0012"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0818,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001115,SRC-001115,anecdote,Vitamin D Deficiency In Autism--What Causes It?,"{""reporter_population"": ""clinician"", ""engagement"": 13443, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0826,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001116,SRC-001116,anecdote,60 Second Science Autism & Vitamin D,"{""reporter_population"": ""unknown"", ""engagement"": 8842, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0651,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001117,SRC-001117,anecdote,Can low Vitamin D CAUSE AUTISM?,"{""reporter_population"": ""unknown"", ""engagement"": 7631, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0641,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001118,SRC-001118,anecdote,Link Between Vitamin D Deficiency and Autism – Interview With Rhonda Patrick Ph.D.,"{""reporter_population"": ""clinician"", ""engagement"": 246, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0479,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001119,SRC-001119,anecdote,How Much Vitamin D is Right for My Autistic Child?,"{""reporter_population"": ""unknown"", ""engagement"": 6623, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0630,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001120,SRC-001120,anecdote,Autism I Role of Vitamin D,"{""reporter_population"": ""unknown"", ""engagement"": 1094, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0502,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001121,SRC-001121,anecdote,Dr. John Cannell - Vitamin D - Prevention & Treatment of Autism,"{""reporter_population"": ""unknown"", ""engagement"": 6794, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0632,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001122,SRC-001122,anecdote,Vitamin D and Autism,"{""reporter_population"": ""unknown"", ""engagement"": 61, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0296,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001123,SRC-001123,anecdote,Dr. Stewart’s favorite supplement for children with Autism? 🧩,"{""reporter_population"": ""unknown"", ""engagement"": 772, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0477,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001124,SRC-001124,anecdote,Vitamin D Deficiencies In Children With Developmental Delays; Autism,"{""reporter_population"": ""unknown"", ""engagement"": 5146, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0612,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001125,SRC-001125,anecdote,Autism and Vitamin D: You’re not giving enough!,"{""reporter_population"": ""unknown"", ""engagement"": 307, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0411,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001126,SRC-001126,anecdote,"Vitamin D Therapy Explained by Dr. Cicero Coimbra | Benefits, Uses & Protocols","{""reporter_population"": ""unknown"", ""engagement"": 21609, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0715,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001127,SRC-001127,anecdote,Should I Give My Child with Autism a Vitamin D supplement?,"{""reporter_population"": ""clinician"", ""engagement"": 6546, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0763,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001128,SRC-001128,anecdote,What Is The Correct Vitamin D Dosage For Autistic Children? - Answers About Autism,"{""reporter_population"": ""unknown"", ""engagement"": 34, ""legacy_intervention_id"": ""INT-0013"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0255,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001129,SRC-001129,anecdote,60SecondScience Autism& FishOil,"{""reporter_population"": ""unknown"", ""engagement"": 47705, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0772,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001130,SRC-001130,anecdote,Omega-3 Is The BEST ADHD Supplement (5 Must Know Facts),"{""reporter_population"": ""clinician"", ""engagement"": 14486, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0832,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001131,SRC-001131,anecdote,"Omega 3s, ADHD, Autism and Neurodivergence | Nutrition Talks","{""reporter_population"": ""unknown"", ""engagement"": 296, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0408,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001132,SRC-001132,anecdote,Ask Dr. Doreen: Does omega-3 Fish Oil Help Kids with Autism Sleep?,"{""reporter_population"": ""unknown"", ""engagement"": 1667, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0532,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001133,SRC-001133,anecdote,The Problem With Omega-3 and Autism,"{""reporter_population"": ""clinician"", ""engagement"": 15199, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0836,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001134,SRC-001134,anecdote,Why Your Brain Needs Omega-3s,"{""reporter_population"": ""clinician"", ""engagement"": 23197, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0873,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001135,SRC-001135,anecdote,Fish Oil Dosage for Autism: Tailored Strategies for Your Child,"{""reporter_population"": ""clinician"", ""engagement"": 2392, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0676,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001136,SRC-001136,anecdote,Do This for Attention Deficit Hyperactivity Disorder – Omega 3 Fatty Acids For ADHD – Dr.Berg,"{""reporter_population"": ""clinician"", ""engagement"": 175529, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.1000,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001137,SRC-001137,anecdote,"EurOmega 3 Review: Small, Crushable Fish Oil Tablets for Kids With Autism","{""reporter_population"": ""clinician"", ""engagement"": 528, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0545,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001138,SRC-001138,anecdote,Omega 3 and Autism by Dr. Ajibade and Prof. Angela Taylor,"{""reporter_population"": ""unknown"", ""engagement"": 73, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0308,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001139,SRC-001139,anecdote,Why are EPA and DHA called omega-3 fatty acids? #shorts,"{""reporter_population"": ""clinician"", ""engagement"": 15499, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0838,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001140,SRC-001140,anecdote,"What Fish Oils are best for Autism, ADHD & Speech Delay | Omega3 Brand (ENGLISH SUBTITLES)","{""reporter_population"": ""unknown"", ""engagement"": 16593, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0696,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001141,SRC-001141,anecdote,"What are Omega 3's? - Julie Hawkes, Barlean's Product Educator & Health Coach","{""reporter_population"": ""unknown"", ""engagement"": 413, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0432,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001142,SRC-001142,anecdote,Family credits fish oil in helping teen's injured brain,"{""reporter_population"": ""researcher"", ""engagement"": 19549, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0858,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001143,SRC-001143,anecdote,Top 3 Nutrient Deficiencies In ADHD,"{""reporter_population"": ""clinician"", ""engagement"": 2729, ""legacy_intervention_id"": ""INT-0014"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0687,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001144,SRC-001144,anecdote,Magnesium & Autism,"{""reporter_population"": ""clinician"", ""engagement"": 9693, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0797,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001145,SRC-001145,anecdote,Benefits of Magnesium Series | Part 10: Autism,"{""reporter_population"": ""clinician"", ""engagement"": 1246, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0619,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001146,SRC-001146,anecdote,Magnesium Deficiencies and Autism: What You Need to Know,"{""reporter_population"": ""unknown"", ""engagement"": 10611, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0664,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001147,SRC-001147,anecdote,Elevating Young Lives: B6 and Magnesium's Impact on Autism and Behaviour.,"{""reporter_population"": ""unknown"", ""engagement"": 189, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0376,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001148,SRC-001148,anecdote,The Best Types of Magnesium for ADHD,"{""reporter_population"": ""clinician"", ""engagement"": 14802, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0834,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001149,SRC-001149,anecdote,Why I Like Magnesium For ADHD,"{""reporter_population"": ""clinician"", ""engagement"": 3954, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0719,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001150,SRC-001150,anecdote,Can Magnesium Supplements Help Children with Autism?,"{""reporter_population"": ""unknown"", ""engagement"": 303, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0410,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001151,SRC-001151,anecdote,Magnesium plays a crucial role in supporting brain health and behavior in kids with ADHD and autism,"{""reporter_population"": ""unknown"", ""engagement"": 9103, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0653,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001152,SRC-001152,anecdote,Magnesium A GAME CHANGER For AUTISM? What Every Parent Should Know BEFORE Starting Magnesium,"{""reporter_population"": ""parent"", ""engagement"": 1344, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0751,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001153,SRC-001153,anecdote,Magnesium Deficiencies and Supplements for Your Child,"{""reporter_population"": ""unknown"", ""engagement"": 3959, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0594,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001154,SRC-001154,anecdote,Nutrition for Autism: Why including magnesium & avoiding sugar is good,"{""reporter_population"": ""unknown"", ""engagement"": 895, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0487,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001155,SRC-001155,anecdote,The Brain-boosting Power of Magnesium You Never Knew About!,"{""reporter_population"": ""clinician"", ""engagement"": 288970, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.1000,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001156,SRC-001156,anecdote,Best Magnesium Supplement for Kids: Holistic Pediatrician Explains,"{""reporter_population"": ""unknown"", ""engagement"": 1868, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0540,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001157,SRC-001157,anecdote,What Would Happen If You Took Magnesium for 14 Days  #drberg #shorts #magnesium,"{""reporter_population"": ""clinician"", ""engagement"": 1723959, ""legacy_intervention_id"": ""INT-0015"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.1000,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001158,SRC-001158,anecdote,What You Need to Know About Zinc Deficiencies and Autism,"{""reporter_population"": ""unknown"", ""engagement"": 7923, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0643,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001159,SRC-001159,anecdote,Zinc/copper balance in autism & pyroluria: Dr. Usman on Autism Intensive,"{""reporter_population"": ""unknown"", ""engagement"": 7086, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0635,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001160,SRC-001160,anecdote,Nootropics that Unlock Benefits to Improve Life with Autism!,"{""reporter_population"": ""unknown"", ""engagement"": 8500, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0648,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001161,SRC-001161,anecdote,Hair Analysis Reveals Hidden Mineral Imbalances in Autistic Child - Case Study,"{""reporter_population"": ""unknown"", ""engagement"": 367, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0423,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001162,SRC-001162,anecdote,Zinc in Autism Treatment? Dr. Din Breaks Down the Science,"{""reporter_population"": ""unknown"", ""engagement"": 210, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0384,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001163,SRC-001163,anecdote,"The Roles of Iron, Zinc and Copper in Autism","{""reporter_population"": ""unknown"", ""engagement"": 325, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0415,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001164,SRC-001164,anecdote,16 Zinc and Copper Imbalance in Autism - Autism Wellbeing Podcast - How to Get Your Child Healthy,"{""reporter_population"": ""unknown"", ""engagement"": 253, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0397,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001165,SRC-001165,anecdote,33 - Zinc Supplementation - Autism Wellbeing Plan - How to Get Your Child Healthy [Podcast],"{""reporter_population"": ""unknown"", ""engagement"": 88, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0322,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001166,SRC-001166,anecdote,Make Sure Your Kids Get Enough Zinc,"{""reporter_population"": ""clinician"", ""engagement"": 188885, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.1000,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001167,SRC-001167,anecdote,What Is The Role Of Zinc In Children With Autism? - Answers About Autism,"{""reporter_population"": ""unknown"", ""engagement"": 24, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0231,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001168,SRC-001168,anecdote,How zinc depletion is affecting your autism child’s brain,"{""reporter_population"": ""unknown"", ""engagement"": 120, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0344,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001169,SRC-001169,anecdote,What My Toxicologist Uncle Told Me About Zinc and Autism Symptoms!,"{""reporter_population"": ""unknown"", ""engagement"": 53, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0286,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001170,SRC-001170,anecdote,Zinc Deficiency Linked to Autism Epidemic,"{""reporter_population"": ""clinician"", ""engagement"": 702, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0569,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001171,SRC-001171,anecdote,"Zinc, Zinc, Zinc","{""reporter_population"": ""clinician"", ""engagement"": 9700, ""legacy_intervention_id"": ""INT-0016"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0797,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001172,SRC-001172,anecdote,What You Actually Need to Know About Taurine | Taurine Benefits,"{""reporter_population"": ""clinician"", ""engagement"": 68943, ""legacy_intervention_id"": ""INT-0023"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0968,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001173,SRC-001173,anecdote,The Incredible Impacts of TAURINE on Your Brain and Heart,"{""reporter_population"": ""clinician"", ""engagement"": 76443, ""legacy_intervention_id"": ""INT-0023"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0977,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001174,SRC-001174,anecdote,Taurine Benefits in Autism spectrum disorder/Aspergers Syndrome,"{""reporter_population"": ""unknown"", ""engagement"": 464, ""legacy_intervention_id"": ""INT-0023"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0440,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001175,SRC-001175,anecdote,5 Ways Taurine Transforms Your Health (New Research),"{""reporter_population"": ""clinician"", ""engagement"": 82197, ""legacy_intervention_id"": ""INT-0023"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0983,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-001176,SRC-001176,anecdote,Taurine.. Time to Throw it Away? Two New Studies,"{""reporter_population"": ""unknown"", ""engagement"": 107940, ""legacy_intervention_id"": ""INT-0023"", ""legacy_mechanism_match"": true, ""legacy_contradicting_literature"": false}",positive,0.0825,rule_based,0.95,2026-04-24T17:07:31+00:00,
